id_relatorio,setor,descricao_bruta,risco_declarado,temperatura_local
REL-1000,Segurança,Tudo em conformidade com as normas de segurança. (Ref: 100),Baixo,34.46786752397412
REL-1001,Segurança,Rachadura identificada no pilar B4 após concretagem. (Ref: 539),Médio,29.616967980082514
REL-1002,Hidráulica,Rachadura identificada no pilar B4 após concretagem. (Ref: 535),Alto,39.073372669913795
REL-1003,Segurança,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 433),Crítico,28.93973085106441
REL-1004,Hidráulica,Rachadura identificada no pilar B4 após concretagem. (Ref: 573),Crítico,29.680996292865757
REL-1005,Segurança,Vazamento de óleo no guindaste durante operação de carga. (Ref: 533),Baixo,35.57462622124715
REL-1006,Hidráulica,Fiação exposta próxima à área úmida no setor norte. (Ref: 340),Crítico,37.09684032038234
REL-1007,Hidráulica,Rachadura identificada no pilar B4 após concretagem. (Ref: 568),Baixo,28.054696980221692
REL-1008,Civil,Vazamento de óleo no guindaste durante operação de carga. (Ref: 403),Baixo,39.238130787559804
REL-1009,Hidráulica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 183),Médio,38.00935648809682
REL-1010,Elétrica,Tudo em conformidade com as normas de segurança. (Ref: 630),Médio,39.327967666886785
REL-1011,Segurança,Rachadura identificada no pilar B4 após concretagem. (Ref: 689),Médio,37.03525150342863
REL-1012,Segurança,Fiação exposta próxima à área úmida no setor norte. (Ref: 188),Crítico,31.508412308859157
REL-1013,Segurança,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 369),Baixo,31.506002761660245
REL-1014,Hidráulica,Fiação exposta próxima à área úmida no setor norte. (Ref: 86),Crítico,39.0540354223279
REL-1015,Civil,Vazamento de óleo no guindaste durante operação de carga. (Ref: 654),Baixo,27.963686993821256
REL-1016,Civil,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 246),Crítico,33.89640510797667
REL-1017,Civil,Material acumulado bloqueando a saída de emergência. (Ref: 919),Crítico,28.00433758288124
REL-1018,Segurança,Escada de acesso sem corrimão instalado corretamente. (Ref: 125),Médio,32.422156642154306
REL-1019,Civil,Material acumulado bloqueando a saída de emergência. (Ref: 802),Baixo,29.32850115187767
REL-1020,Civil,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 172),Crítico,25.53664729810344
REL-1021,Civil,Fiação exposta próxima à área úmida no setor norte. (Ref: 178),Alto,39.37916341380458
REL-1022,Segurança,Escada de acesso sem corrimão instalado corretamente. (Ref: 20),Médio,35.59589189535599
